# Результаты сопоставления станций метро ЦИАН ↔ БД
# Обработка дублирующихся названий станций с учетом line_id
# Пример: "Перово" на линии 9 → cian_id=90, на линии 36 → cian_id=474
# Автоматический выбор при разнице line_id ≤ 5 с предупреждением
# Ручное исправление: Зеленоград-Крюково (линия 36) → cian_id=455
line_id,name,cian_id,mapping_status
7,Улица Академика Янгеля,135,Сопоставлено
7,Нахимовский проспект,75,Сопоставлено
7,Цветной бульвар,145,Сопоставлено
7,Чеховская,148,Сопоставлено
7,Боровицкая,20,Сопоставлено
7,Полянка,98,Сопоставлено
7,Тульская,131,Сопоставлено
7,Нагатинская,73,Сопоставлено
7,Нагорная,74,Сопоставлено
7,Чертановская,147,Сопоставлено
7,Южная,157,Сопоставлено
7,Пражская,99,Сопоставлено
7,Аннино,7,Сопоставлено
7,Бульвар Дмитрия Донского,24,Сопоставлено
7,Отрадное,83,Сопоставлено
7,Дмитровская,37,Сопоставлено
7,Савёловская,110,Сопоставлено
7,Серпуховская,114,Сопоставлено
7,Севастопольская,112,Сопоставлено
8,Улица 1905 года,134,Сопоставлено
8,Планерная,94,Сопоставлено
8,Сходненская,122,Сопоставлено
8,Спартак,275,Сопоставлено
8,Щукинская,154,Сопоставлено
8,Октябрьское поле,81,Сопоставлено
8,Беговая,14,Сопоставлено
8,Баррикадная,12,Сопоставлено
8,Пушкинская,105,Сопоставлено
8,Лермонтовский проспект,271,Сопоставлено
8,Рязанский проспект,109,Сопоставлено
8,Текстильщики,126,Сопоставлено
8,Таганская,123,Сопоставлено
8,Кузнецкий мост,58,Сопоставлено
8,Пролетарская,101,Сопоставлено
8,Кузьминки,59,Сопоставлено
8,Выхино,34,Сопоставлено
8,Жулебино,270,Сопоставлено
8,Волгоградский проспект,31,Сопоставлено
8,Китай-город,47,Сопоставлено
8,Тушинская,133,Сопоставлено
8,Полежаевская,97,Сопоставлено
8,Котельники,282,Сопоставлено
9,Третьяковская,129,Сопоставлено
9,Авиамоторная,1,Сопоставлено
9,Шоссе Энтузиастов,152,Сопоставлено
9,Площадь Ильича,95,Сопоставлено
9,Новокосино,243,Сопоставлено
9,Новогиреево,76,Сопоставлено
9,Перово,90,Сопоставлено
9,Марксистская,66,Сопоставлено
10,Селигерская,354,Сопоставлено
10,Фонвизинская,286,Сопоставлено
10,Бутырская,287,Сопоставлено
10,Достоевская,237,Сопоставлено
10,Трубная,130,Сопоставлено
10,Крестьянская застава,55,Сопоставлено
10,Дубровка,40,Сопоставлено
10,Печатники,92,Сопоставлено
10,Чкаловская,150,Сопоставлено
10,Братиславская,22,Сопоставлено
10,Марьино,67,Сопоставлено
10,Борисово,240,Сопоставлено
10,Сретенский бульвар,119,Сопоставлено
10,Марьина Роща,236,Сопоставлено
10,Римская,108,Сопоставлено
10,Петровско-Разумовская,91,Сопоставлено
10,Волжская,32,Сопоставлено
10,Люблино,65,Сопоставлено
10,Физтех,533,Сопоставлено
10,Лианозово,534,Сопоставлено
10,Верхние Лихоборы,353,Сопоставлено
10,Яхромская,398,Сопоставлено
10,Окружная,296,Сопоставлено
10,Кожуховская,48,Сопоставлено
10,Шипиловская,238,Сопоставлено
10,Зябликово,239,Сопоставлено
11,Каховская,44,Сопоставлено
11,Лефортово,446,Сопоставлено
11,Петровский парк,350,Сопоставлено
11,Савёловская,110,Сопоставлено
11,ЦСКА,352,Сопоставлено
11,Кунцевская,60,Сопоставлено
11,Проспект Вернадского,102,Сопоставлено
11,Зюзино,389,Сопоставлено
11,Воронцовская,390,Сопоставлено
11,Каширская,45,Сопоставлено
11,Электрозаводская,155,Сопоставлено
11,Новаторская,391,Сопоставлено
11,Мнёвники,395,Сопоставлено
11,Давыдково,393,Сопоставлено
11,Терехово,396,Сопоставлено
11,Марьина Роща,236,Сопоставлено
11,Нагатинский Затон,388,Сопоставлено
11,Кленовый бульвар,387,Сопоставлено
11,Народное Ополчение,440,Сопоставлено
11,Сокольники,117,Сопоставлено
11,Рижская,107,Сопоставлено
11,Авиамоторная,1,Сопоставлено
11,Варшавская,26,Сопоставлено
11,Печатники,92,Сопоставлено
11,Текстильщики,126,Сопоставлено
11,Нижегородская,303,Сопоставлено
11,Мичуринский проспект,361,Сопоставлено
11,Хорошёвская,351,Сопоставлено
11,Аминьевская,392,Сопоставлено
12,Улица Старокачаловская,139,Сопоставлено
12,Битцевский парк,274,Сопоставлено
12,Бунинская Аллея,25,Сопоставлено
12,Улица Горчакова,136,Сопоставлено
12,Лесопарковая,273,Сопоставлено
12,Улица Скобелевская,138,Сопоставлено
12,Бульвар Адмирала Ушакова,23,Сопоставлено
13,Мичуринский проспект,361,Сопоставлено
13,Озёрная,362,Сопоставлено
13,Говорово,363,Сопоставлено
13,Солнцево,364,Сопоставлено
13,Новопеределкино,366,Сопоставлено
13,Минская,337,Сопоставлено
13,Рассказовка,367,Сопоставлено
13,Деловой центр,70,Сопоставлено
13,Пыхтино,536,Сопоставлено
13,Парк Победы,87,Сопоставлено
13,Ломоносовский проспект,338,Сопоставлено
13,Аэропорт Внуково,535,Сопоставлено
